,tweets,creation_date,user,retweets,favorites,favorited,retweeted,language
0,@maytz_na Hola maytz_na. Te enviamos un mensaje directo ¿Nos ayudas a verificar? Saludos.,2020-09-28 12:32:07-05:00,maytz_na,0,,False,,es
1,"@Viridia01170771 Hola, Viridiana. Queremos ayudarte por este medio. Envíanos en un solo mensaje directo los detalles de tu situación, por favor. Quedamos atentos a tu respuesta. Saludos.",2020-09-28 12:25:43-05:00,Viridia01170771,0,,False,,es
2,"@Panchini_Nb Hola Francisco. Compartenos la siguiente información para tu seguimiento en MD: Nombre completo de quien realizo la compra, número de orden, SKU o código del producto, correo electrónico, teléfono, forma de pago y una breve descripción de tu solicitud, quedamos atentos. Saludos.",2020-09-28 12:24:51-05:00,Panchini_Nb,0,,False,,es
3,"@highvanillacoke Hola, Irene. Queremos ayudarte. Envíanos en un solo mensaje directo los detalles de tu situación. ¿fue compra en linea o directo en tienda? ¿ya lo reportaste? Quedamos atentos a tu respuesta. Saludos.",2020-09-28 12:18:27-05:00,highvanillacoke,1,,False,,es
4,"@LefrancEduardo Hola, Eduardo. Te enviamos un mensaje directo para obtener  mas detalles de tu situación y darle seguimiento por este medio. Saludos.",2020-09-28 12:08:48-05:00,LefrancEduardo,0,,False,,es
5,"@Ne_Charly Hola, Carlos buenas tardes te pedimos por favor nos compartas los siguientes datos por MD para ver la situación de tu caso.
Numero de orden, SKU, numero de contacto, tu método de pago  correo con el que realiza la compra y tu nombre completo por favor. 
Saludos.",2020-09-28 12:04:49-05:00,Ne_Charly,0,,False,,es
6,"Prueba: 
1. Body Partner @Clarins_Mexico 
2. Aceite de almendras reafirmante @loccitaneusa
3. Creme de corps @Kiehlsmx 
4. Aceite corporal renovación, La Mer
Disponibles en tu Palacio favorito, https://t.co/J5Lz5Pt0Xb o al 📞 55 47429945. #EstamosTotalmenteContigo",2020-09-28 12:01:32-05:00,palaciohierro,0,,False,,es
7,"Tener estrías es mucho más común de lo que piensas y ¡no pasa nada!🤷🏻‍♀‍ Debes saber que eliminarlas es prácticamente imposible 🙅🏻‍♀‍ pero sí puedes reducir su presencia y evitar que aparezcan más. 

👉🏻 https://t.co/eZsZirmNPw https://t.co/NkFpEz0B3D",2020-09-28 12:01:31-05:00,,2,,False,,es
8,"@samantha_fz Hola, buenas tardes Samantha queremos escucharte compártenos por MD tu molestia para darle una solución.
Saludos.",2020-09-28 11:58:27-05:00,samantha_fz,0,,False,,es
9,"@BenVillaReveles Hola, una disculpa por los inconvenientes. Seguimos atendiendo tu caso. Por favor mantente al pendiente de los contactos que nos proporcionaste, recuerda revisar tu bandeja de correo no deseado o Spam ya que nuestro mensaje puede llegar ahí. Gracias.",2020-09-28 11:37:23-05:00,BenVillaReveles,0,,False,,es
